action - 194, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 195, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 196, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 197, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 198, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 199, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 200, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 201, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 202, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 203, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 204, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 205, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 206, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 207, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 208, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 209, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 210, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 211, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 212, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 213, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 214, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 215, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 216, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 217, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 218, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 219, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 220, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 221, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 222, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 223, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 224, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 225, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 226, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 227, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 228, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
